Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_047.tif,23.924617362306368,0.1617816140328367,0.8245840072631836,0.0513105578720569,0.5143983632326126
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_049.tif,24.61144763822076,0.1949514251405289,0.8397483825683594,0.0434296503663063,0.4411797411739826
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_048.tif,24.164367298352047,0.203244063017653,0.852516233921051,0.0479544177651405,0.4783173844218254
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_050.tif,23.940589667671336,0.1661323737558872,0.8381549119949341,0.051860399544239,0.499969144910574
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_051.tif,25.156449907132963,0.2453387860061853,0.8486029505729675,0.0391885973513126,0.3938558183610439
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_053.tif,24.773398577915493,0.2213850523921787,0.8162679672241211,0.0392220392823219,0.3692126914858818
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_052.tif,24.358866657366654,0.2028151978274526,0.8479140400886536,0.0442558415234088,0.4333686992526054
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_054.tif,24.783899516247303,0.1990702380956722,0.8368766903877258,0.0431620925664901,0.4749044947326183
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_055.tif,23.89361825639208,0.2053514091634467,0.8689473867416382,0.0489866100251674,0.4592920482158661
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_056.tif,25.9359367180852,0.2424488663461843,0.8372051119804382,0.0333249494433403,0.3684093981981277
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_059.tif,25.060014688482028,0.1952380088655756,0.8348900079727173,0.0422818288207054,0.4791589625179767
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_058.tif,25.33743632460648,0.2294209608392449,0.8543912768363953,0.0389085039496421,0.424648717790842
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_057.tif,24.548060248916087,0.2247695087203589,0.849849283695221,0.0432938747107982,0.4353463619947433
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_060.tif,24.78925341886495,0.1777829943587014,0.8266420364379883,0.0425594449043273,0.5087840192019939
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_063.tif,24.37936154057304,0.2063749301012413,0.8587440848350525,0.0453904755413532,0.4793764904141426
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_061.tif,23.247587477201986,0.2115746985427392,0.8512082695960999,0.0514074191451072,0.4618488200008869
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_062.tif,24.511830448729164,0.1740927692575126,0.8377613425254822,0.0442355424165725,0.4712578289210796
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_067.tif,24.49828497950857,0.2190688009919734,0.8228200078010559,0.0407935231924057,0.435616023093462
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_066.tif,24.234512359119755,0.2013797599557447,0.8351560831069946,0.0463127084076404,0.4380837552249431
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_065.tif,25.685387786636227,0.2354090246959358,0.8558303117752075,0.0356671251356601,0.3813822098076344
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_068.tif,25.03221423560777,0.199132387951554,0.8502572774887085,0.0433318689465522,0.4840704247355461
