Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_035.tif,25.242037849695546,0.22722032169590525,0.9072983860969543,0.052096009254455566,0.12967661060974933
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_036.tif,26.75368852356662,0.22048447968932053,0.8898279666900635,0.043791137635707855,0.10978221127588768
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_037.tif,25.36320200749881,0.22088613214794714,0.8832411766052246,0.05176614597439766,0.13398365501780063
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_038.tif,23.930904702530494,0.17968457016742423,0.8701788783073425,0.06207318231463432,0.118755474279169
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_040.tif,26.368830289293072,0.2542696726752544,0.9190850853919983,0.0448002889752388,0.133905583480373
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_039.tif,25.957989784496732,0.23182234033794355,0.9163122177124023,0.047722913324832916,0.13088221729267388
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_041.tif,27.377347750203494,0.24183635200252368,0.9155566692352295,0.040185123682022095,0.11974981726089026
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_042.tif,26.340032505537103,0.21783222171003458,0.8908423185348511,0.046452850103378296,0.12804602886317298
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_043.tif,25.774460074212868,0.24765131278088956,0.9239464998245239,0.048342861235141754,0.13657018169760704
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_044.tif,26.07242413659182,0.25282174934156365,0.9058377742767334,0.046415477991104126,0.1371599812817294
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_045.tif,27.386295610436818,0.23892447451696644,0.9169380068778992,0.04021235555410385,0.12297798977815547
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_046.tif,23.439031217177018,0.17675545071329926,0.856449544429779,0.06585852056741714,0.12833529195049778
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_047.tif,22.97386362875582,0.16734997568517263,0.8459039926528931,0.06954486668109894,0.12967673842795194
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_049.tif,24.888480882723464,0.20571136553376546,0.892426073551178,0.054752521216869354,0.12490018449607306
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_048.tif,27.243746896030206,0.26384538652400186,0.9196260571479797,0.04030738025903702,0.13402207136095967
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_050.tif,29.019473949758638,0.2686881692578294,0.918662965297699,0.03250540420413017,0.12741894360515288
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_051.tif,27.672538858515615,0.2946353084344211,0.9354479312896729,0.037320200353860855,0.1419588093063794
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_053.tif,27.00788901011402,0.26745614375821924,0.925460696220398,0.04087743163108826,0.1363439250359079
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_052.tif,26.22997653167114,0.2368267448199638,0.916970431804657,0.04587700217962265,0.1187019508855883
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_054.tif,27.405166180038808,0.24352066680772572,0.9026607275009155,0.04032772034406662,0.11698691671481357
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_055.tif,25.259641770170443,0.23057783735181767,0.9202635884284973,0.05180443450808525,0.1372882540395949
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_056.tif,25.959615987621753,0.22737139702578185,0.9037732481956482,0.04786517471075058,0.13224989441223442
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_059.tif,26.83700241742224,0.2298170417328145,0.8919413089752197,0.04355652257800102,0.12225485057279002
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_058.tif,25.625068198234317,0.22961535904715208,0.9034610986709595,0.049995116889476776,0.1325205048720818
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_057.tif,22.48341448676083,0.1983748361697491,0.8776078224182129,0.07327397167682648,0.13276228511240334
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_060.tif,28.228609867925417,0.2597129441732565,0.9187179207801819,0.03613939508795738,0.13049889511894436
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_063.tif,27.28787073105002,0.2661273293473033,0.9257088303565979,0.04012564569711685,0.14077473799698054
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_061.tif,26.006504838271734,0.25572000440069237,0.9249458312988281,0.0466068759560585,0.13435164064285346
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_062.tif,24.335023370037447,0.18053725923507205,0.8864724636077881,0.058889079838991165,0.1233976459945552
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_067.tif,28.310191421412483,0.3057262628747592,0.9393821358680725,0.03377667814493179,0.13611236903525423
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_066.tif,25.692324134086086,0.23005377413709854,0.901043713092804,0.04932253062725067,0.12494752023485489
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_065.tif,25.481991567992694,0.22270259536335216,0.9111506342887878,0.05071824789047241,0.13638033667812124
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_068.tif,29.964496494605854,0.32417165294330264,0.9376958608627319,0.02781367301940918,0.13750369168119506
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_069.tif,27.18981850886152,0.26657674726996544,0.9283849596977234,0.040307704359292984,0.14411991102970206
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_064.tif,27.24983932236541,0.2530632844781187,0.9198276400566101,0.040488384664058685,0.13146439694683068
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_070.tif,25.358394196787604,0.22906986731524578,0.8959682583808899,0.05170715972781181,0.13829599553137087
